Cluster ID,Plot ID,Subplot,ID,Length (m),Diameter (cm),Decay class
1,3,4,1,3.0,13.0,2
1,3,4,2,2.3,10.0,2
1,3,4,3,1.9,11.0,2
1,3,4,4,3.1,12.0,2
2,5,4,1,4.6,6.8,1
2,5,4,2,3.7,6.0,1
2,7,1,1,2.2,6.0,1
3,5,2,1,3.5,6.7,2
3,7,4,1,4.5,4.9,1
3,7,4,2,1.5,4.8,1
3,9,1,1,4.5,11.2,3
4,1,4,1,2.1,21.0,1
5,1,2,1,1.6,6.0,1
5,1,3,1,3.6,7.0,1
5,9,4,1,1.6,17.0,1
6,1,3,1,6.5,7.0,2
6,2,1,1,4.0,4.9,1
6,8,3,1,3.5,4.3,2
6,8,3,2,4.7,4.2,2
6,8,3,3,5.0,5.0,2
6,8,3,4,5.3,4.7,2
6,8,3,5,6.0,5.3,2
6,8,3,6,5.5,4.5,2
6,8,3,7,4.3,6.0,2
6,8,4,8,6.0,5.3,1
7,3,4,1,2.4,5.3,2
7,4,4,1,1.9,4.8,1
7,4,4,2,0.9,5.4,1
7,4,3,1,1.2,11.6,2
7,4,3,2,2.2,5.0,1
7,6,2,1,2.5,4.6,2
7,6,3,1,1.5,6.1,2
7,6,1,1,3.2,4.3,1
7,7,1,1,1.0,9.9,3
7,7,1,2,3.4,4.3,1
7,7,3,1,2.4,6.5,2
7,7,3,2,1.8,4.9,2
7,7,3,3,2.7,4.7,2
7,8,1,1,1.7,5.4,1
7,8,1,2,2.0,4.1,1
7,8,1,3,1.2,4.2,2
7,8,1,4,1.8,5.2,2
7,8,3,1,1.4,4.0,1
7,8,3,2,1.8,4.8,1
7,9,2,1,2.0,4.2,1
7,9,3,1,3.5,4.0,1
7,9,3,2,1.3,4.5,1
7,9,4,1,1.9,5.0,1
7,9,4,2,2.4,4.4,1
7,9,4,3,1.8,4.0,1
8,2,4,1,1.9,4.2,2
8,2,4,2,1.6,10.9,3
8,3,2,1,2.0,5.5,3
8,5,2,1,4.1,5.6,1
8,6,3,1,2.5,6.0,2
8,7,2,1,1.8,7.0,3
8,8,3,1,3.3,5.2,2
8,8,3,2,2.9,4.4,3
8,8,4,1,1.5,8.0,2
8,9,2,1,1.8,5.0,3
8,10,1,1,2.7,9.8,3
8,10,1,2,2.7,6.2,3
9,7,1,1,2.8,22.0,1
10,2,3,1,1.4,6.0,1
10,2,1,1,1.3,9.2,1
10,3,2,1,2.1,4.0,1
10,3,4,1,2.8,12.4,2
10,4,1,1,3.6,10.4,1
10,4,3,1,1.8,4.8,1
10,4,3,2,2.1,4.0,1
10,4,3,3,1.5,4.5,1
10,4,3,4,0.4,4.5,2
10,6,2,1,3.6,4.5,1
10,7,4,1,0.8,4.5,2
11,2,2,1,0.9,8.8,2
11,2,3,1,3.0,5.2,1
11,4,3,1,2.2,5.2,1
11,4,3,2,2.2,4.9,1
11,4,3,3,2.2,5.6,1
11,6,4,1,3.9,5.0,2
11,6,4,2,2.6,4.6,2
11,6,4,3,3.0,4.3,2
11,6,4,4,4.1,4.0,2
11,7,2,1,4.8,6.4,2
11,10,4,1,4.0,9.2,1
12,4,4,1,1.0,8.9,2
12,4,4,2,1.5,4.8,2
12,8,1,1,1.7,4.0,2
13,10,1,1,1.1,10.0,2
13,10,1,2,1.4,9.0,1
14,4,1,1,2.1,4.0,1
14,7,1,1,6.5,18.0,1
14,7,4,2,3.8,13.0,1
14,9,2,1,2.8,12.0,1
15,3,4,1,2.1,12.9,2
15,3,4,2,1.2,8.4,2
15,3,4,3,2.2,14.0,2
15,3,4,4,1.1,6.0,2
15,3,4,5,1.7,4.9,2
15,3,1,1,1.1,7.6,2
15,5,2,1,1.2,22.9,2
15,7,2,1,3.0,12.5,2
16,2,2,1,1.7,6.7,2
16,4,1,1,2.5,6.0,2
16,8,2,1,2.0,7.0,2
16,8,1,1,1.4,6.6,2
16,9,4,1,4.6,6.4,3
16,9,4,2,5.1,40.6,3
16,9,4,3,2.3,10.6,3
