Cluster ID,Plot ID,Subplot,Count,DBH (cm),Height (m),Crown Diameter1 (m),Crown Diameter2 (m),Dominant species,List of other species,
1,3,1,2,4.6,2.9,2.4,3.0,16,22,
1,3,3,4,5.0,2.6,4.3,3.0,22,16;3,
1,8,2,1,5.2,3.2,2.5,2.4,51,,
1,8,4,1,5.0,2.0,3.6,3.9,38,,
2,1,1,3,9.0,4.5,5.0,4.2,8,3,
2,1,2,8,6.6,5.3,2.9,3.0,15,23;16,
2,1,3,5,9.4,7.5,5.2,3.2,15,8;53,
2,1,4,4,7.7,5.6,4.1,3.3,8,,
2,2,2,4,6.0,3.3,2.0,1.6,22,27,
2,2,4,1,5.5,2.0,2.9,2.0,3,,
2,3,1,11,4.4,3.1,4.7,3.8,3,58;8;22,
2,3,2,7,7.4,5.3,3.8,2.9,8,22;57;3,
2,3,3,1,4.7,4.8,6.3,4.9,59,,
2,3,4,9,7.1,5.1,3.0,3.1,20,8;3;15;22,
2,4,1,8,5.6,6.2,4.7,3.2,20,15;3,
2,4,2,6,6.1,8.3,3.8,3.3,8,15;3,
2,4,3,4,6.2,4.3,3.4,3.8,8,20;15,
2,4,4,3,6.3,5.4,4.7,5.3,15,8,
2,5,1,6,6.0,6.3,1.8,2.0,8,3;57,
2,5,2,7,8.8,7.2,5.3,4.0,8,15;3,
2,5,3,8,7.6,7.7,2.9,3.2,8,60;3,
2,5,4,9,8.0,7.4,3.7,3.0,8,16;61;3,
2,6,1,4,4.0,5.3,2.5,1.9,8,15,
2,6,2,6,5.7,5.1,2.7,3.1,8,57,
2,6,3,2,6.0,4.7,5.0,5.2,8,15,
2,6,4,2,6.4,6.9,2.4,2.8,8,,
2,7,1,1,4.2,5.3,1.0,0.9,15,,
2,7,2,6,7.3,6.2,2.8,2.0,57,1;3;16,
2,7,3,11,9.0,5.9,2.5,2.1,8,57;3;51;20,
2,7,4,3,6.4,6.3,3.3,2.9,60,3,
2,8,1,4,5.2,3.7,5.6,4.2,3,,
2,8,2,2,6.2,5.2,4.3,3.0,3,,
2,8,3,7,8.7,9.2,4.2,3.7,8,10;3;57,
2,8,4,2,4.1,3.0,1.8,1.5,22,57,
2,9,1,5,6.4,6.3,4.3,3.1,8,32,
2,9,2,4,5.7,4.6,4.8,3.4,8,1;26;46,
2,9,3,2,6.2,7.1,2.8,2.0,15,,
2,9,4,1,9.3,5.7,2.9,2.0,22,,
2,10,1,6,7.6,5.7,3.1,3.0,57,3;15,
2,10,2,5,7.0,6.4,5.3,4.1,57,20;15,
2,10,3,6,6.5,6.2,3.3,2.2,8,57;3;46,
2,10,4,16,8.0,8.3,2.1,1.9,8,57;15;20,
3,1,1,3,6.5,5.6,6.5,4.2,16,51;49,
3,1,3,3,9.0,8.2,3.7,3.0,8,,
3,1,4,2,6.3,5.3,4.4,4.0,53,,
