Date,Cluster ID,Plot ID,Latitude (N),Longitude (E),Pos. error (m),Elevation (m),Slope (°),Plot radius
6.1.2014,1,1,11.698872,-1.982213,1.4,348.5,2.5,17.84
6.1.2014,1,2,11.703583,-1.982173,1.4,344.9,1.0,17.84
6.1.2014,1,3,11.698632,-1.978797,1.4,349.6,2.0,17.84
21.12.2013,1,4,11.704728,-1.975357,1.6,388.6,2.0,17.84
21.12.2013,1,5,11.709022,-1.977112,1.9,330.2,1.5,17.84
21.12.2013,1,6,11.707365,-1.976407,1.8,314.7,1.0,17.84
21.12.2013,1,7,11.708797,-1.978673,1.8,347.7,3.0,17.84
6.1.2014,1,8,11.701173,-1.981950,1.4,279.0,2.0,17.84
6.1.2014,1,9,11.700368,-1.981088,1.6,306.4,0.5,17.84
21.12.2013,1,10,11.705822,-1.976335,1.7,340.8,2.6,17.84
9.1.2014,2,1,11.732795,-1.984847,1.3,245.8,1.5,17.84
10.1.2014,2,2,11.733043,-1.993522,1.9,406.7,0.5,17.84
9.1.2014,2,3,11.731013,-1.986603,1.9,368.5,1.0,17.84
9.1.2014,2,4,11.733287,-1.985600,1.4,337.2,0.5,17.84
10.1.2014,2,5,11.734297,-1.990475,1.8,385.7,1.5,17.84
9.1.2014,2,6,11.734133,-1.988172,1.3,343.9,1.0,17.84
10.1.2014,2,7,11.737893,-1.991902,1.9,349.5,2.0,17.84
9.1.2014,2,8,11.735318,-1.983743,2.0,352.8,0.5,17.84
10.1.2014,2,9,11.741052,-1.988310,1.9,320.7,1.5,17.84
10.1.2014,2,10,11.738062,-1.988318,1.9,364.9,0.5,17.84
11.1.2014,3,1,11.751512,-1.988620,1.7,254.1,0.5,17.84
13.1.2014,3,2,11.756288,-1.993640,1.7,344.5,1.5,17.84
11.1.2014,3,3,11.750625,-1.994335,2.0,419.7,0.5,17.84
13.1.2014,3,4,11.756062,-1.988560,1.6,272.1,3.0,17.84
13.1.2014,3,5,11.756842,-1.988592,1.3,339.4,1.5,17.84
11.1.2014,3,6,11.752375,-1.990195,1.6,319.8,2.0,17.84
11.1.2014,3,7,11.751118,-1.990988,1.5,364.6,1.0,17.84
13.1.2014,3,8,11.758157,-1.991433,2.0,337.2,1.0,17.84
13.1.2014,3,9,11.754572,-1.987675,2.8,329.4,0.5,17.84
11.1.2014,3,10,11.752902,-1.989598,1.3,337.1,1.5,17.84
15.1.2014,4,1,11.783347,-1.981557,1.6,338.2,2.0,17.84
15.1.2014,4,2,11.789647,-1.982708,1.8,298.5,2.0,17.84
14.1.2014,4,3,11.779797,-1.987128,1.9,324.4,1.0,17.84
14.1.2014,4,4,11.781447,-1.984365,1.3,311.5,1.5,17.84
15.1.2014,4,5,11.783033,-1.983510,1.9,418.6,2.0,17.84
15.1.2014,4,6,11.789263,-1.983327,1.5,369.5,1.5,17.84
14.1.2014,4,7,11.782862,-1.986480,2.0,361.0,1.0,17.84
14.1.2014,4,8,11.785472,-1.985343,1.5,359.0,1.5,17.84
15.1.2014,4,9,11.782402,-1.981350,1.4,275.5,1.0,17.84
14.1.2014,4,10,11.782378,-1.985212,1.6,355.1,1.0,17.84
20.12.2013,5,1,11.709228,-1.964350,1.7,231.1,2.0,17.84
20.12.2013,5,2,11.710878,-1.962185,1.5,357.0,1.0,17.84
20.12.2013,5,3,11.709170,-1.965348,1.9,322.1,1.5,17.84
19.12.2013,5,4,11.712285,-1.967198,1.7,273.4,3.5,17.84
19.12.2013,5,5,11.711097,-1.964792,1.5,333.1,2.0,17.84
20.12.2013,5,6,11.714590,-1.965262,2.0,340.2,2.0,17.84
20.12.2013,5,7,11.714240,-1.961085,1.6,303.5,2.0,17.84
20.12.2013,5,8,11.709827,-1.965960,1.4,318.3,1.5,17.84
19.12.2013,5,9,11.714680,-1.969542,1.8,355.9,1.0,17.84
19.12.2013,5,10,11.713423,-1.969045,1.4,355.3,1.0,17.84
8.1.2014,6,1,11.736932,-1.962507,1.9,279.2,1.5,17.84
7.1.2014,6,2,11.733690,-1.960435,1.8,225.1,1.0,17.84
8.1.2014,6,3,11.737920,-1.965788,1.5,444.7,0.5,17.84
8.1.2014,6,4,11.738468,-1.960282,1.9,339.0,1.0,17.84
7.1.2014,6,5,11.736703,-1.959128,2.0,383.8,2.0,17.84
7.1.2014,6,6,11.737223,-1.958232,1.3,299.3,1.0,17.84
7.1.2014,6,7,11.733385,-1.963538,2.1,448.3,1.0,17.84
7.1.2014,6,8,11.732905,-1.966967,1.4,358.2,1.5,17.84
8.1.2014,6,9,11.739182,-1.959255,1.5,327.0,0.5,17.84
8.1.2014,6,10,11.740932,-1.964937,1.4,236.3,1.0,17.84
29.1.2014,7,1,11.753548,-1.955737,1.7,302.2,1.5,17.84
30.1.2014,7,2,11.761490,-1.957905,1.3,359.1,1.5,17.84
30.1.2014,7,3,11.758877,-1.950178,1.6,327.1,2.0,17.84
29.1.2014,7,4,11.757343,-1.952323,1.3,354.7,1.5,17.84
29.1.2014,7,5,11.754157,-1.955245,1.5,356.6,2.0,17.84
30.1.2014,7,6,11.759478,-1.952712,1.5,360.2,2.0,17.84
30.1.2014,7,7,11.760647,-1.957817,2.0,340.9,1.5,17.84
29.1.2014,7,8,11.754772,-1.953243,1.9,356.3,1.0,17.84
29.1.2014,7,9,11.756150,-1.952960,1.8,340.5,1.0,17.84
30.1.2014,7,10,11.759843,-1.948888,1.8,367.8,2.5,17.84
31.1.2014,8,1,11.782252,-1.955072,1.7,364.2,2.0,17.84
1.2.2014,8,2,11.786735,-1.953028,1.7,305.8,2.0,17.84
1.2.2014,8,3,11.781955,-1.948940,1.5,363.8,1.5,17.84
31.1.2014,8,4,11.780625,-1.956008,1.4,366.8,1.5,17.84
31.1.2014,8,5,11.781500,-1.955263,1.4,371.4,2.0,17.84
1.2.2014,8,6,11.787837,-1.952543,1.3,364.0,2.0,17.84
31.1.2014,8,7,11.785313,-1.954452,1.4,225.6,3.0,17.84
1.2.2014,8,8,11.786690,-1.958660,2.0,338.7,2.0,17.84
31.1.2014,8,9,11.784540,-1.954280,1.6,317.2,2.0,17.84
31.1.2014,8,10,11.783268,-1.958372,2.0,357.2,1.0,17.84
15.12.2013,9,1,11.713500,-1.935815,1.6,313.8,1.5,17.84
