Cluster ID,Plot ID,Tree ID,Species,DBH (cm),Unusual,Dead
1,1,1,51,20.0,0,0
1,1,3,8,16.1,0,0
1,1,4,13,16.6,1,0
1,1,5,8,24.4,0,0
1,1,6,51,14.7,0,0
1,1,7,51,13.0,0,0
1,1,8,51,16.6,0,0
1,1,9,32,20.0,0,0
1,1,10,51,10.1,0,0
1,1,2a,51,21.7,0,0
1,1,2b,51,15.0,0,0
1,1,2c,51,12.0,0,0
1,2,1,51,27.5,0,0
1,2,2,51,34.3,0,0
1,3,1,51,11.3,0,0
1,3,2,51,14.2,0,0
1,3,3,20,12.1,0,0
1,3,4,49,10.2,0,0
1,3,5,51,18.3,0,0
1,3,6,51,18.0,0,0
1,3,7,51,11.6,0,0
1,3,8,38,10.0,0,0
1,3,9,49,27.3,0,0
1,4,1,51,35.6,0,0
1,4,2,51,39.2,0,0
1,5,1,51,26.3,0,0
1,5,2,51,37.5,0,0
1,5,3,51,30.7,0,0
1,6,1,51,26.7,0,0
1,6,2,51,41.6,0,0
1,6,3,51,32.2,0,0
1,6,4,13,28.3,0,0
1,7,2,51,35.1,0,0
1,7,3,51,31.6,0,0
1,7,1a,51,32.8,0,0
1,7,1b,51,29.6,0,0
1,8,2,13,22.8,0,0
1,8,3,51,14.5,0,0
1,8,4,51,20.7,0,0
1,8,5,51,17.5,0,0
1,8,6,32,24.0,0,0
1,8,7,51,20.0,0,0
1,8,8,51,14.6,0,0
1,8,9,51,22.3,0,0
1,8,10,51,28.5,0,0
1,8,11,51,15.6,0,0
1,8,12,51,11.0,0,0
1,8,13,51,10.1,0,0
1,8,14,51,15.1,0,0
1,8,15,51,27.6,0,0
1,8,16,44,39.6,0,0
1,8,17,51,21.0,0,0
1,8,18,51,17.0,0,0
1,8,1a,13,31.9,0,0
1,8,1b,13,27.0,0,0
1,9,1,51,27.6,0,0
1,10,1,51,32.0,0,0
1,10,2,51,25.2,0,0
2,1,1,15,14.0,0,0
2,1,2,33,26.3,0,0
2,1,5,8,11.3,0,0
2,1,6,15,12.2,0,0
2,1,7,8,20.1,0,0
2,1,8,56,12.5,0,0
2,1,9,8,14.7,0,0
2,1,10,57,16.2,0,0
2,1,11,8,12.6,0,0
2,1,12,15,15.4,0,0
2,1,3a,15,14.4,0,0
2,1,3b,15,10.5,0,0
2,1,4a,15,12.0,0,0
2,1,4b,15,11.3,0,0
2,2,1,15,10.4,0,0
2,2,2,15,10.1,0,0
2,2,3,33,33.7,0,0
2,3,1,39,36.1,0,0
2,3,2,8,17.0,0,0
2,3,3,8,10.0,0,0
2,3,4,44,27.0,0,0
2,3,5,22,13.7,0,0
2,3,6,57,10.7,0,0
2,3,7,3,11.1,0,0
2,3,8,57,10.6,0,0
2,3,10,13,20.0,0,0
2,3,11,15,10.1,0,0
2,3,12,15,11.7,0,0
2,3,13,8,10.0,0,0
2,3,14,8,21.1,0,0
2,3,9a,15,17.0,0,0
2,3,9b,15,14.2,0,0
2,4,1,8,13.5,0,0
2,4,2,51,22.4,0,0
2,4,3,57,15.3,0,0
2,4,4,8,14.0,0,0
2,4,5,8,20.1,0,0
2,4,6,8,24.2,0,0
2,4,7,57,14.5,0,0
2,4,8,8,16.4,0,0
2,4,10,8,15.6,0,0
2,4,11,8,10.0,0,0
2,4,12,8,18.4,0,0
2,4,13,15,15.7,0,0
2,4,14,16,12.0,0,0
2,4,15,56,15.2,0,0
2,4,16,8,10.7,0,0
2,4,17,51,26.1,0,0
2,4,18,32,16.3,0,0
2,4,19,56,12.5,0,0
2,4,20,15,13.4,0,0
2,4,21,32,23.2,0,0
2,4,22,8,18.1,0,0
2,4,23,8,24.0,0,0
2,4,24,8,13.0,0,0
2,4,25,22,13.2,0,0
2,4,9a,8,20.0,0,0
2,4,9b,8,10.2,0,0
2,5,1,8,11.5,0,0
2,5,2,8,14.2,0,0
2,5,3,8,13.5,0,0
2,5,4,8,12.6,0,0
2,5,5,45,11.6,0,0
2,5,6,8,11.8,0,0
2,5,7,8,13.5,0,0
2,5,8,33,30.4,0,0
2,5,9,8,12.2,0,0
2,5,10,8,14.3,0,0
2,5,11,8,19.8,0,0
2,5,12,8,12.2,0,0
2,5,13,8,13.6,0,0
2,5,14,8,18.6,0,0
2,5,15,16,14.0,0,0
