Cluster ID,Plot ID,Subplot,Count,DBH (cm),Height (m),Crown Diameter1 (m),Crown Diameter2 (m),Dominant species,List of other species
1,1,1,5,4.5,7.2,2.3,0.8,18,52; 61
1,1,2,2,10,5.5,3.7,2.5,84,18
1,1,3,2,4,3.1,1.3,0.9,18,
1,1,4,2,6,4.6,2.4,1.9,18,
1,2,1,14,10,8.4,3.5,2.4,39,84; 18; 61
1,2,2,4,10,6.5,3.4,1.9,39,84
1,2,3,2,10,5.4,3.8,2.6,39,61
1,2,4,9,7,4.5,4.1,2.4,84,90; 39
1,3,1,4,6,3.8,3.1,2.1,84,61
1,3,2,6,8,6.5,4.2,2.9,84,39; 90; 111
1,3,3,2,4.5,6.8,1.2,0.8,86,
1,3,4,1,6,4.2,2.8,1.7,111,
1,4,1,2,4.1,3.8,1.4,0.7,18,
1,4,2,2,4.5,3.2,1.1,0.9,90,
1,4,3,4,7,3.4,1.2,0.6,39,18
1,4,4,5,10,8.5,3.5,2.3,18,112
1,5,1,3,5,7,2.2,1.5,90,71
1,5,3,2,6,3.2,0.9,0.4,90,
1,6,1,4,6,4.5,3.4,1.8,85,39
1,6,2,3,9,5.8,2.4,1.8,39,18
1,6,3,2,5.4,3.2,2.4,1.9,90,
1,7,1,2,8,5,2.4,1.6,100,
1,7,4,2,5,7.2,3.2,3.1,61,18
1,8,1,13,10,7.4,3.9,2.1,18,85; 89; 90
1,8,2,29,10,6.5,3.7,2.5,18,85; 52; 102
1,8,3,33,10,8,5.1,4.2,89,18; 52; 87; 102
1,8,4,9,8,7,3.8,1.8,18,102; 45
1,9,1,3,8,6.6,4.1,3.5,84,18
1,9,2,4,9,7.2,4.1,2.9,84,90
1,9,3,5,8,6.8,4.2,1.9,90,18; 61
1,9,4,3,6,3.8,2.4,1.2,90,
1,10,1,2,8.1,5.1,3.6,2.1,39,
1,10,3,1,9,3.8,2.9,1.6,111,
2,2,1,5,7,6.4,2.4,1.6,39,84; 18; 85
2,2,2,6,8,3.2,2.1,1.4,90,18; 84
2,2,3,1,7,3.1,1.1,0.8,39,
2,2,4,11,10,7.2,4.8,2.3,71,84; 90; 18; 99
2,4,1,4,9,5.2,2.6,1.4,89,
2,4,2,2,9.1,7,3.6,1.9,25,
2,4,3,1,7,8,2.2,0.9,89,
2,5,1,4,8,6.2,5.5,3.2,18,90
2,5,2,2,10,5.6,3.6,2.2,61,18
2,5,3,1,9.9,7.6,4.6,3.9,61,
2,5,4,3,5,4.5,2,1,18,111
2,5,3,4,7,8.1,2.1,1.8,18,
2,5,4,5,6,5.7,4.2,3.9,18,90; 84
2,5,3,4,6,9,2.8,2.1,68,
2,5,4,2,6.2,4.5,1.9,1.1,61,
2,6,1,3,9.3,6,2.5,1.9,18,
2,6,2,8,10,4.8,4.25,3.1,111,111
2,6,3,6,5,6.2,2.1,1.1,18,52; 85
2,6,4,4,10,7.2,6.1,2.6,18,39
2,9,1,7,5,3.4,0.9,0.7,55,18; 85
2,9,2,8,9,7.2,2.8,2.6,18,90; 52
2,9,3,8,7,5.4,1.6,1.3,71,31; 90; 18
2,9,4,10,8,6.8,4,3,18,90; 55; 61
2,9,2,1,9.6,8,6.2,4.2,87,
2,9,4,4,8,6.2,1.5,0.8,87,
3,1,1,11,8,8.2,3.3,3,71,18; 84; 85
3,1,2,3,4.2,4,2,1.5,71,61; 83
3,1,3,5,8.3,7,3.6,2,83,31
3,1,4,6,7,9,3.2,1.7,71,51; 61
3,2,2,1,6,4,0.5,0.3,111,
3,3,1,3,7,4,2.4,2,65,
3,4,1,3,6,6.5,2.5,2,18,
3,4,2,5,10,9,3,2.5,39,31
