Cluster ID,Plot ID,Palm ID,Species,DBH (cm),Height (m)
2,4,1,93,42,22.0
2,4,2,93,39,13.0
3,8,1,93,33,8.0
4,2,1,91,50,18.0
4,2,2,91,49,18.4
4,2,3,91,58,20.0
4,9,1,91,47,20.0
4,9,2,91,45,18.0
4,9,3,91,46,19.0
4,9,4,91,49,19.0
4,9,5,91,37,20.0
4,9,6,91,40,17.0
4,9,7,91,41,18.0
4,9,8,91,48,19.3
4,9,9,91,49,19.0
5,1,1,93,28,11.6
5,1,2,93,29,12.0
5,1,3,93,28,10.5
5,4,1,91,40,15.0
5,4,2,91,30,8.0
5,9,1,91,38,12.5
5,9,2,91,49,13.0
5,9,3,91,48,15.0
5,9,4,91,30,13.0
6,1,1,91,39,15.0
6,9,1,93,43,16.0
7,3,1,91,36,13.0
7,3,2,91,44,14.0
7,4,1,93,23,12.0
7,4,2,93,27,10.5
7,4,3,93,32,14.0
7,5,1,91,38,15.0
7,5,2,91,37,13.0
7,8,1,91,41,13.0
7,10,1,91,38,13.0
8,10,1,93,24,15.0
9,1,1,91,30,12.4
9,1,2,93,39,9.5
9,2,1,93,32,12.0
9,2,2,93,35,15.0
9,2,3,93,36,11.0
9,2,4,93,33,7.0
9,2,5,93,31,13.0
9,2,6,93,36,13.0
9,2,7,93,35,12.0
9,2,8,93,36,13.0
9,2,9,93,26,10.0
9,3,1,93,32,13.0
9,3,2,93,36,12.0
9,5,1,91,42,16.0
9,5,2,91,39,14.0
9,5,3,91,42,15.0
9,5,4,91,51,14.0
9,5,5,91,46,13.0
9,5,6,91,38,15.0
9,6,1,93,26,9.5
9,7,1,93,30,9.5
9,7,2,93,32,11.5
9,7,3,93,38,11.0
9,8,1,91,48,10.0
9,9,1,91,40,16.0
9,10,1,93,30,13.0
10,2,1,91,43,12.5
10,2,2,91,42,10.5
10,4,1,91,30,12.0
10,4,2,91,46,15.0
10,4,3,91,44,10.0
10,4,4,91,34,13.0
10,4,5,91,40,14.0
10,4,6,91,46,14.0
10,4,7,91,34,15.0
10,7,1,91,38,14.0
11,6,1,91,38,12.5
12,8,1,93,28,13.0
12,9,1,93,29,10.6
13,10,1,91,34,13.5
14,5,1,93,31,12.0
14,5,2,93,24,15.0
16,8,1,93,33,13.0
16,8,2,93,28,13.0
16,8,3,93,30,8.0
16,8,4,93,26,12.0
16,8,5,93,28,14.0
16,8,6,93,30,9.0
16,9,1,93,34,4.5
