Date,Cluster ID,Plot ID,Latitude,Longitude,Accuracy,Elevation (m),Slope (°),Plot radius,,,
9.4.2014,1,1,9.806617,-12.385947,2.6,80,7,17.91,,,
8.4.2014,1,2,9.804823,-12.380523,3.8,70,2,17.85,,,
9.4.2014,1,3,9.802508,-12.382258,4.1,105,3,17.85,,,
9.4.2014,1,4,9.801630,-12.387637,1.7,103,7,17.91,,,
9.4.2014,1,5,9.801872,-12.388217,2.6,105,4,17.86,,,
9.4.2014,1,6,9.801112,-12.385403,2.4,87,5,17.88,,,
8.4.2014,1,7,9.804083,-12.381343,3.2,124,3,17.85,,,
9.4.2014,1,8,9.806425,-12.382975,2.4,89,2,17.85,,,
8.4.2014,1,9,9.805283,-12.381120,3.6,119,4,17.86,,,
9.4.2014,1,10,9.805025,-12.386855,2.4,52,3,17.85,,,
8.4.2014,2,1,9.818113,-12.380473,2.3,87,2,17.85,,,
7.4.2014,2,2,9.823985,-12.387090,1.8,94,5,17.88,,,
7.4.2014,2,3,9.824087,-12.381290,2.7,74,5,17.88,,,
8.4.2014,2,4,9.820100,-12.389400,NA,34,9,17.95,,,
8.4.2014,2,5,9.815858,-12.383107,2.5,140,4,17.86,,,
7.4.2014,2,6,9.824430,-12.385885,1.8,97,1,17.84,,,
7.4.2014,2,7,9.826053,-12.387592,1.7,70,2,17.85,,,
7.4.2014,2,8,9.825665,-12.383680,1.7,150,3,17.85,,,
7.4.2014,2,9,9.825610,-12.387068,1.9,156,1,17.84,,,
7.4.2014,2,10,9.825757,-12.382673,1.3,-29,4,17.86,,,
28.3.2014,3,1,9.857035,-12.386323,1.4,63,60,25.23,,,
28.3.2014,3,2,9.858518,-12.381928,1.4,136,8,17.93,,,
27.3.2014,3,3,9.850382,-12.381587,1.6,72,9,17.95,,,
27.3.2014,3,4,9.852172,-12.382875,2.2,50,18,18.29,,,
28.3.2014,3,5,9.860525,-12.383613,2.3,122,8,17.93,,,
28.3.2014,3,6,9.851445,-12.379455,2.3,89,18,18.29,,,
4.3.2014,3,7,9.851202,-12.386490,1.4,103,6,17.89,,,
27.3.2014,3,8,9.851787,-12.378433,2.4,111,60,25.23,,,
28.3.2014,3,9,9.858650,-12.382727,2.1,96,30,19.17,,,
27.3.2014,3,10,9.851683,-12.383800,1.9,96,7,17.91,,,
31.3.2014,4,1,9.886398,-12.382522,2.3,105,8,17.93,,,
30.3.2014,4,2,9.882033,-12.378620,3.0,-25,8,17.93,,,
31.3.2014,4,3,9.879650,-12.383055,2.5,113,12,18.04,,,
30.3.2014,4,4,9.886590,-12.379532,1.9,109,7,17.91,,,
31.3.2014,4,5,9.884108,-12.375512,2.0,158,7,17.91,,,
31.3.2014,4,6,9.886602,-12.378232,1.7,97,8,17.93,,,
30.3.2014,4,7,9.881990,-12.377213,2.2,104,6,17.89,,,
30.3.2014,4,8,9.879775,-12.377458,2.4,149,6,17.89,,,
30.3.2014,4,9,9.879910,-12.379115,1.7,114,6,17.89,,,
30.3.2014,4,10,9.885227,-12.376968,2.3,151,7,17.91,,,
13.4.2014,5,1,9.800705,-12.349183,2.1,94,6,17.89,,,
