Cluster ID,Plot ID,Tree ID,DBH (cm),Height (m),Crown Diameter1 (m),Crown Diameter2 (m)
1,1,26,23,14.0,9.8,6.2
1,1,27,46,14.7,11.2,9.3
1,1,28,10,9.2,4.6,3.2
1,2,8,10,5.5,3.1,2.1
1,2,23,22,11.5,7.2,6.9
1,2,32,42,14.2,12.4,9.8
1,3,14,21,11.6,3.6,3.2
1,3,37,10,6.5,2.8,1.9
1,3,38,40,14.3,9.6,7.6
1,4,13,10,6.6,3.4,1.6
1,4,23,20,9.8,6.3,5.4
1,4,2c,48,10.2,10.1,5.9
1,5,7,11,6.7,3.8,2.1
1,5,20,38,12.8,9.8,7.2
1,5,25,19,8.9,6.1,4.2
1,6,7,60,14.5,14.2,12.5
1,6,8,34,13.4,8.6,4.8
1,6,25,10,6.2,3.4,1.9
1,7,3,55,14.4,15.2,13.2
1,7,12,10,8.0,2.1,0.9
1,7,22,19,9.6,4.2,3.1
1,8,11,18,7.0,6.8,4.2
1,8,2b,10,6.5,3.6,1.9
1,8,2c,12,7.0,3.2,1.9
1,9,7,10,8.0,4.8,3.6
1,9,16,26,11.0,9.7,7.4
1,9,22,56,13.0,16.2,12.4
1,10,12,26,11.0,6.2,4.2
1,10,13,50,13.0,12.6,9.4
1,10,17,10,7.0,5.6,3.2
2,1,5,42,14.0,7.8,5.1
2,1,8,17,8.0,4.9,3.9
2,1,4b,10,6.8,4.3,3.1
2,2,23,28,13.6,1.8,8.4
2,2,26,11,7.2,2.8,0.9
2,2,29,14,7.6,3.6,2.9
2,3,2,12,3.6,0.9,0.6
2,3,3,34,14.8,11.2,8.6
2,3,4a,21,13.0,9.6,8.2
2,4,17,11,9.0,3.2,3.1
2,4,19,22,11.0,8.6,6.4
2,4,23,59,14.0,10.2,7.4
2,5,1,39,12.5,7.2,5.6
2,5,2,10,6.5,3.2,1.9
2,5,27,18,8.0,4.9,4.4
2,6,4,10,6.8,2.9,2.1
2,6,35,56,12.0,17.1,12.0
2,6,8d,28,13.0,8.3,5.3
2,7,1,26,10.2,11.1,9.6
2,7,2,15,9.5,4.2,2.2
2,7,3,18,9.0,6.5,4.3
2,8,4,58,14.0,17.0,10.8
2,8,6,28,10.5,5.7,4.7
2,8,7,15,9.6,4.6,2.7
2,9,14,10,6.5,4.3,3.6
2,9,17,17,9.2,4.1,3.9
2,9,10a,23,12.1,8.9,7.8
2,10,2,54,13.0,11.0,8.6
2,10,3,28,9.0,5.6,2.9
2,10,5,10,7.0,1.6,0.8
3,1,21,10,8.0,3.8,2.6
3,1,25,26,12.0,10.0,5.0
3,1,41,16,10.0,5.6,4.2
3,2,1,34,8.0,7.0,5.2
3,2,2,15,6.0,4.1,3.2
3,2,4c,11,6.0,2.5,2.0
3,3,1,11,5.4,3.2,2.1
3,3,2,10,6.5,3.5,1.9
3,3,4,12,6.0,4.6,3.1
3,4,9,11,8.0,5.5,3.6
3,4,13,16,12.0,6.6,4.2
3,4,31,38,17.0,10.3,7.3
3,5,3,57,16.0,22.1,16.5
3,5,4,25,13.0,4.9,4.3
3,5,9,14,10.0,4.7,4.1
3,6,6,10,9.0,4.2,2.3
3,6,28,37,15.0,10.4,9.1
3,6,51,24,14.0,5.3,4.1
3,7,6,10,10.5,5.5,3.4
3,7,12,22,15.0,7.6,5.1
3,7,28,55,22.0,16.4,10.5
3,8,2,22,12.0,6.0,5.7
