Code,Species name,Wood density
1,Acacia spp.,0.60
3,Afzelia africana,0.70
4,Anisophyllea laurina,0.77
8,Bauhinia rufesoens,0.78
10,Bombax costatum,0.36
11,Brachystegia leonensis,0.49
14,Ceiba pentandra,0.30
16,Cleistopholis patens,0.34
18,Combretum glutinosum,0.90
19,Combretum molle,0.76
22,Daniellia oliveri,0.50
24,Detarium senegalense,0.70
25,Dialium guineense,0.88
31,Erythrina senegalensis,0.30
33,Garcinia ovalifolia,0.77
37,Khaya senegalensis,0.64
38,Lannea kerstingii,0.45
39,Lophira lanceolata,0.79
41,Mangifera indica,0.57
43,Mitragyna stipulosa,0.48
45,Nauclea latifolia,0.62
49,Parinari excelsa,0.71
51,Parkia bicolor,0.46
52,Parkia biglobosa,0.51
54,Phyllanthus discoideus,0.75
55,Piliostigma thonningii,0.65
58,Prosopis africana,0.88
61,Pterocarpus erinaceous,0.67
65,Spondias mombin,0.39
66,Sterculia tragacantha,0.43
68,Tamarindus indica,0.97
71,Terminalia glaucescens,0.73
72,Terminalia ivorensis,0.46
81,Vitex doniana,0.54
83,Xylopia aethiopica,0.44
84,Hymenocardia acida,0.70
85,Bridelia micrantha,0.52
86,Holarrhena africana,0.47
87,Gmelina arborea,0.43
88,Sarcocephalus diderrichii,0.67
89,Albizia zygia,0.50
90,Annona senegalensis,0.51
91,Borassus aethiopum,0.81
92,Uvaria chamae,0.46
93,Elaeis guineensis,0.61
94,Chlorophora excelsa,0.57
95,Alstonia boonei,0.33
96,Azadirachta indica,0.67
97,Syzygium guineense,0.64
98,Pterocarpus santalinoids,0.67
100,Crossopterix febrifuga,0.59
101,Anacardium occidentale,0.45
102,Erythrophleum guineense,0.80
103,Carapa prpcera,0.57
104,Ficus capensis,0.29
105,Lannea acida,0.45
106,Albizia lebbeck,0.60
108,Rauvofia vomitoria,0.48
109,Newbouldia  laevis,0.61
110,Cola cordifolia,0.52
111,Unknown,0.59
