Cluster ID,Plot ID,Tree ID,Species,DBH (cm),Unusual,Dead,,,
3,1,1a,52,26,0,0,,,
3,1,1b,52,18,0,0,,,
3,1,1c,52,17,0,0,,,
3,1,2,55,10,0,0,,,
3,1,3,55,11,0,0,,,
3,1,4,55,14,0,0,,,
3,1,5,55,11,0,0,,,
3,1,6,18,14,0,0,,,
3,1,7,18,11,0,0,,,
3,1,8,18,11,0,0,,,
3,1,9,18,12,0,0,,,
3,1,10,18,13,0,0,,,
3,1,11,18,14,0,0,,,
3,1,12,18,10,0,0,,,
3,1,13,18,11,0,0,,,
3,1,14,18,18,0,0,,,
3,1,15,55,10,0,0,,,
3,1,16,55,15,0,0,,,
3,1,17,111,14,0,0,,,
3,1,18,55,14,0,0,,,
3,1,19,1,11,0,0,,,
3,1,20,1,11,0,0,,,
3,1,21,1,10,0,0,,,
3,1,22,52,17,0,0,,,
3,1,23,39,11,0,0,,,
3,1,24,39,15,0,0,,,
3,1,25,52,28,0,0,,,
3,1,26,52,17,0,0,,,
3,1,27,86,14,0,0,,,
3,1,28,18,13,0,0,,,
3,1,29,18,24,0,0,,,
3,1,30,18,13,0,0,,,
3,1,31,18,12,0,0,,,
3,1,32,18,17,0,0,,,
3,1,33,18,11,0,0,,,
3,1,34,61,24,0,0,,,
3,1,35,22,16,0,0,,,
3,1,36a,1,14,0,0,,,
3,1,36b,1,13,0,0,,,
3,1,37,52,18,0,0,,,
3,1,38,52,17,0,0,,,
3,1,39,52,15,0,0,,,
3,1,40,61,21,0,0,,,
3,1,41,61,16,0,0,,,
3,2,1,61,34,0,0,,,
3,2,2,61,15,0,0,,,
3,2,3,61,31,0,0,,,
3,2,4a,111,14,0,0,,,
3,2,4b,111,12,0,0,,,
3,2,4c,111,11,0,0,,,
3,3,1,65,11,0,0,,,
3,3,2,65,10,0,0,,,
3,3,3,87,11,0,0,,,
3,3,4,87,12,0,0,,,
3,4,1,87,18,0,0,,,
3,4,2,18,28,0,0,,,
3,4,3,111,28,0,0,,,
3,4,4,111,17,0,0,,,
3,4,5,61,34,0,0,,,
3,4,6,61,11,0,0,,,
3,4,7,38,12,0,0,,,
3,4,8,18,20,0,0,,,
3,4,9,89,11,0,0,,,
3,4,10,31,15,0,0,,,
3,4,11a,31,18,0,0,,,
3,4,11b,31,19,0,0,,,
3,4,11c,31,12,0,0,,,
3,4,12,55,16,0,0,,,
3,4,13,61,16,0,0,,,
3,4,14,84,12,0,0,,,
3,4,15,61,13,0,0,,,
3,4,16,85,14,0,0,,,
3,4,17,84,12,0,0,,,
3,4,18,85,16,0,0,,,
3,4,19,84,12,0,0,,,
3,4,20,61,20,0,0,,,
3,4,21,39,14,0,0,,,
3,4,22,52,24,0,0,,,
3,4,23,61,25,0,0,,,
3,4,24,39,14,0,0,,,
3,4,25,39,14,0,0,,,
3,4,26,31,16,0,0,,,
3,4,27,111,36,0,0,,,
3,4,28,61,32,0,0,,,
3,4,29,18,32,0,0,,,
3,4,30,18,22,0,0,,,
3,4,31,39,38,0,0,,,
3,4,32a,54,17,0,0,,,
3,4,32b,54,19,0,0,,,
3,4,33,111,31,0,0,,,
3,4,34,18,26,0,0,,,
3,4,35,18,13,0,0,,,
3,4,36,18,19,0,0,,,
3,4,37,65,19,0,0,,,
3,4,38,55,14,0,0,,,
3,4,39,18,22,0,0,,,
3,4,40,61,30,0,0,,,
3,4,41,31,16,0,0,,,
3,4,42,61,16,0,0,,,
3,4,43,39,11,0,0,,,
3,4,44,81,24,0,0,,,
3,4,45,83,12,0,0,,,
3,4,46,65,16,0,0,,,
3,4,47,31,17,0,0,,,
3,4,48,54,32,0,0,,,
3,4,49,85,27,0,0,,,
3,4,50,84,34,0,0,,,
3,4,51,39,11,0,0,,,
3,4,52,85,12,0,0,,,
3,4,53,18,20,0,0,,,
3,5,1,61,42,0,1,,,
3,5,2,61,30,1,0,,,
3,5,3,52,57,0,0,,,
3,5,4,94,25,0,0,,,
3,5,5,71,42,0,1,,,
3,5,6,54,24,0,0,,,
3,5,7,61,33,0,0,,,
3,5,8,18,16,0,0,,,
3,5,9,39,14,0,0,,,
3,5,10,111,25,0,0,,,
3,5,11,111,28,0,0,,,
3,5,12,71,22,0,0,,,
3,5,13,71,21,0,0,,,
3,5,14,71,24,0,0,,,
3,5,15,111,32,0,0,,,
3,5,16,18,30,0,0,,,
3,5,17,61,23,0,0,,,
3,5,18,61,32,0,0,,,
3,5,19,55,22,0,0,,,
3,5,20,85,15,0,0,,,
3,6,1a,18,14,0,0,,,
3,6,1b,18,13,0,0,,,
3,6,1c,18,12,0,0,,,
3,6,2,61,19,0,0,,,
3,6,3,18,14,1,0,,,
3,6,4,18,21,0,0,,,
3,6,5,18,17,0,0,,,
3,6,6,18,10,0,0,,,
3,6,7,18,19,0,0,,,
3,6,8,61,21,0,0,,,
3,6,9,61,20,0,0,,,
3,6,10,18,14,0,0,,,
3,6,11,61,28,0,0,,,
3,6,12,84,22,0,0,,,
3,6,13,61,23,0,0,,,
3,6,14,61,21,0,0,,,
3,6,15,18,14,0,0,,,
3,6,16,84,14,0,0,,,
3,6,17,18,10,0,0,,,
3,6,18,18,18,0,0,,,
3,6,19,18,15,0,0,,,
3,6,20,84,12,0,0,,,
3,6,21,84,13,0,0,,,
3,6,22,61,23,0,0,,,
3,6,23,18,13,0,0,,,
3,6,24,18,16,0,0,,,
3,6,25,18,14,0,0,,,
3,6,26,61,11,0,0,,,
3,6,27,52,16,0,0,,,
3,6,28,18,37,0,0,,,
3,6,29,61,12,0,0,,,
3,6,30,18,16,0,0,,,
3,6,31,61,21,0,0,,,
3,6,31,61,13,0,0,,,
3,6,32,18,21,0,0,,,
3,6,33,55,29,0,0,,,
3,6,34,18,17,0,0,,,
3,6,35,18,19,0,0,,,
3,6,36,18,12,0,0,,,
3,6,37,18,11,0,0,,,
3,6,38,61,15,0,0,,,
3,6,39,18,19,0,0,,,
3,6,40,18,13,0,0,,,
3,6,41,18,13,0,0,,,
3,6,42,61,12,0,0,,,
3,6,43,61,34,0,0,,,
3,6,44,18,13,0,0,,,
3,6,45,55,17,0,0,,,
3,6,46,55,21,0,0,,,
3,6,47,18,29,0,0,,,
3,6,48,61,24,0,0,,,
3,6,49,61,16,0,0,,,
3,6,50,18,16,0,0,,,
3,6,51,61,24,0,0,,,
3,6,52a,18,11,0,0,,,
3,6,52b,18,13,0,0,,,
3,6,53,84,15,0,0,,,
3,7,1,111,24,1,0,,,
3,7,2,52,53,0,0,,,
3,7,3,81,12,0,0,,,
3,7,4,61,14,0,0,,,
3,7,5,18,12,0,0,,,
3,7,6,86,10,0,0,,,
3,7,7,84,12,0,0,,,
3,7,8,61,12,0,0,,,
3,7,9a,18,12,0,0,,,
3,7,9b,18,12,0,0,,,
3,7,10,61,11,0,0,,,
3,7,11,18,14,0,0,,,
3,7,12,52,22,0,0,,,
3,7,13,111,20,0,1,,,
3,7,14,52,52,0,0,,,
3,7,15,18,22,0,0,,,
3,7,16,61,28,0,0,,,
3,7,17,18,11,0,0,,,
3,7,18a,18,22,0,0,,,
3,7,18b,18,11,0,0,,,
3,7,18c,18,16,0,0,,,
3,7,18d,18,14,0,0,,,
